BENIDORM CHESS OPEN A 2024;;;;;;;;;;
Benidorm (Alicante), 2024-10-27 - 2024-11-03;;;;;;;;;;
;;;;;;;;;;
Clasificación;;;;;;;;;;
Pos.;Ran.;Fed.;Pts.;BH-C1;BH;GE;WON;BWG;APPO;FIDE
1;4;VEN;7,5;47.5;51.5;9;7;3;2297;2387
2;1;FID;7,5;46.5;50.0;9;7;3;2298;2472
3;5;ROU;6,5;47.5;54.0;8;5;3;2341;2365
4;6;ESP;6,5;44.5;48.0;9;5;2;2278;2353
5;16;ESP;6,5;42.0;48.5;6;5;2;2152;2246
6;8;VEN;6,0;46.5;50.0;9;6;2;2294;2329
7;2;ESP;6,0;45.5;49.5;9;5;1;2296;2435
8;12;ESP;6,0;43.5;47.5;9;5;2;2242;2273
9;9;NED;6,0;43.5;47.0;9;6;3;2250;2322
10;18;ENG;6,0;43.5;47.0;9;5;3;2212;2192
11;20;DEN;6,0;42.0;45.0;9;4;3;2167;2174
12;32;POL;5,5;46.0;48.5;9;4;2;2239;2139
13;43;CHN;5,5;45.5;48.5;9;5;3;2220;2095
14;10;DEN;5,5;42.0;44.5;9;5;1;2212;2297
15;15;POL;5,0;47.0;51.5;9;4;1;2305;2259
16;64;IND;5,0;43.0;46.5;9;3;1;2169;1944
17;7;ESP;5,0;40.0;44.0;9;3;1;2226;2329
18;28;ESP;5,0;40.0;43.0;9;4;1;2151;2150
19;52;ESP;5,0;39.5;44.5;5;2;0;2115;2008
20;29;POL;5,0;38.0;40.5;9;3;2;2096;2150
21;13;ESP;5,0;37.5;42.5;8;4;2;2137;2270
22;56;BEL;5,0;37.5;42.5;8;3;1;2082;1985
23;26;SCO;5,0;37.5;40.5;9;2;1;2148;2160
24;40;ESP;5,0;37.0;39.5;9;4;2;2064;2099
25;51;ARM;5,0;37.0;38.5;9;4;1;2029;2010
26;35;ESP;5,0;36.5;41.5;8;4;2;2084;2117
27;36;ESP;5,0;36.0;41.0;8;4;1;2081;2116
28;19;ESP;5,0;36.0;41.0;6;1;1;2107;2186
29;53;ESP;5,0;33.5;36.0;9;3;2;2008;2000
30;57;KAZ;5,0;30.0;32.5;9;5;2;1931;1982
31;21;ESP;4,5;41.0;44.5;9;4;3;2186;2173
32;48;UKR;4,5;40.5;44.5;9;2;1;2127;2023
33;41;IRL;4,5;39.5;42.5;9;3;1;2130;2098
34;31;ESP;4,5;39.0;43.0;9;3;1;2147;2139
35;25;SCO;4,5;39.0;43.0;9;2;0;2166;2162
36;55;ROU;4,5;36.5;41.0;8;2;0;2042;1991
37;63;ENG;4,5;33.0;37.5;8;2;2;1995;1946
38;14;CAN;4,5;31.5;36.0;6;1;0;2054;2262
39;39;ENG;4,0;39.5;42.5;9;2;1;2136;2104
40;27;ITA;4,0;39.0;42.0;9;1;1;2158;2157
41;34;ESP;4,0;38.0;40.5;9;2;1;2137;2122
42;24;ESP;4,0;37.5;40.5;9;4;3;2118;2163
43;17;ESP;4,0;36.5;39.0;9;2;0;2099;2200
44;23;ESP;4,0;36.5;38.0;9;4;2;2062;2166
45;54;ESP;4,0;35.0;38.0;9;2;2;2023;1993
46;58;ESP;4,0;34.0;37.0;9;3;1;1997;1970
47;47;ESP;4,0;33.5;35.0;9;2;1;1992;2027
48;60;FID;4,0;32.5;34.0;9;3;1;1952;1951
49;49;ESP;4,0;30.5;34.5;8;1;0;1968;2016
50;45;POL;3,5;38.0;40.5;9;2;2;2107;2074
51;62;HON;3,5;35.0;37.5;9;1;1;1988;1948
52;37;ESP;3,5;34.5;38.0;7;2;1;2100;2113
53;67;GER;3,5;34.0;37.5;8;2;1;2042;1846
54;30;ESP;3,5;32.5;35.5;9;2;1;2051;2144
55;38;NED;3,5;32.5;35.0;9;3;0;2008;2109
56;50;ESP;3,5;31.5;35.0;8;2;1;1982;2013
57;72;ENG;3,5;31.0;32.5;9;2;1;1900;1784
58;66;FRA;3,0;34.0;37.0;9;2;1;2043;1880
59;59;ESP;3,0;33.5;36.0;9;3;2;1989;1957
60;11;ESP;3,0;32.0;35.0;7;2;1;2071;2284
61;71;ENG;3,0;30.0;31.5;9;1;0;1873;1828
62;68;NED;2,5;32.5;34.0;9;2;0;1930;1837
63;61;SCO;2,5;32.0;34.5;7;2;2;2035;1950
64;65;TPE;2,5;31.0;33.5;9;0;0;1971;1882
65;42;ESP;2,5;28.5;31.0;5;2;1;2064;2098
66;3;ESP;2,0;30.5;32.5;5;1;1;2238;2408
67;69;ESP;2,0;28.5;30.5;7;1;0;2043;1836
68;70;ESP;1,5;31.5;33.0;9;0;0;1998;1834
69;22;CHN;0,0;0.0;0.0;0;0;0;0;2170
70;33;NOR;0,0;0.0;0.0;0;0;0;0;2124
71;44;ESP;0,0;0.0;0.0;0;0;0;0;2081
72;46;ESP;0,0;0.0;0.0;0;0;0;0;2058
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
BENIDORM CHESS OPEN A 2024 - https://info64.org/benidorm-chess-open-a-2024;;;;;;;;;;
